topic_id,ea_wrks_topcnt,ea_wrks_cnt,topic_id_1,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
https://openalex.org/T10718,29,37,https://openalex.org/T10718,Political Philosophy and Ethics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,Global Justice; Human Rights; Cosmopolitanism; Equality; Distributive Justice; Democratic Theory; Rawlsian Justice; Multiculturalism; Social Responsibility; International Law,"This cluster of papers explores theoretical perspectives on global justice, including discussions on human rights, cosmopolitanism, equality, distributive justice, democratic theory, Rawlsian justice, multiculturalism, social responsibility, and international law.",https://en.wikipedia.org/wiki/Global_justice
https://openalex.org/T13144,19,28,https://openalex.org/T13144,Theology and Philosophy of Evil,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Problem of Evil; Theodicy; Divine Hiddenness; Skeptical Theism; Original Sin; Free Will Defense; Divine Providence; Moral Skepticism; Evidential Arguments; Human Suffering,"This cluster of papers explores the philosophical and theological problem of evil, including discussions on theodicy, divine hiddenness, skeptical theism, original sin, free will defense, divine providence, moral skepticism, evidential arguments, and human suffering.",https://en.wikipedia.org/wiki/Problem_of_evil
https://openalex.org/T13456,11,27,https://openalex.org/T13456,"Religion, Society, and Development",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Faith-Based Organizations; Social Services; Religion; Development; Humanitarianism; NGOs; Community Development; Civil Society; International Aid; Welfare,"This cluster of papers explores the role and impact of faith-based organizations in providing social services, contributing to community development, and engaging in international development and humanitarian efforts. It delves into the relationship between religion, spirituality, and development, as well as the comparison between faith-based and secular organizations in delivering welfare and aid. The papers also discuss the challenges, opportunities, and controversies surrounding the involvement of faith-based organizations in various aspects of development and social welfare.",https://en.wikipedia.org/wiki/Faith-based_organization
https://openalex.org/T10509,13,20,https://openalex.org/T10509,"Religion, Spirituality, and Psychology",3306,Health,33,Social Sciences,2,Social Sciences,Religion; Spirituality; Health; Coping; Mental Health; Well-being; Quality of Life; End-of-Life Care; Social Support; Psychological Adjustment,"This cluster of papers explores the impact of religion and spirituality on various aspects of health, including coping mechanisms, mental health, well-being, quality of life, end-of-life care, and social support. It delves into the relationship between religious involvement, spirituality, and health outcomes, providing insights into the role of faith in addressing physical and psychological challenges.",https://en.wikipedia.org/wiki/Religion_and_health
https://openalex.org/T10646,11,17,https://openalex.org/T10646,Experimental Behavioral Economics Studies,3311,Safety Research,33,Social Sciences,2,Social Sciences,Social Preferences; Economic Experiments; Reciprocity; Cooperation; Incentives; Gender Differences; Trust; Fairness; Altruism; Competition,"This cluster of papers explores the role of social preferences in economic behavior through a wide range of experimental studies. It investigates topics such as reciprocity, cooperation, incentives, gender differences, trust, fairness, altruism, and competition. The research delves into the psychological and behavioral aspects that influence decision-making in economic contexts.",https://en.wikipedia.org/wiki/Social_preferences
https://openalex.org/T13445,5,16,https://openalex.org/T13445,American Constitutional Law and Politics,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences,American founding; Constitutional government; Religious freedom; Public opinion; Separation of church and state; Presidential prerogative; Early Republic; Federalism; Political philosophy; Nationalism,"This cluster of papers explores the development of American political thought and history, focusing on topics such as the American founding, constitutional government, religious freedom, public opinion, separation of church and state, presidential prerogative, early republic, federalism, political philosophy, and nationalism.",https://en.wikipedia.org/wiki/American_political_history
https://openalex.org/T11120,7,13,https://openalex.org/T11120,Nonprofit Sector and Volunteering,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Prosocial Behavior; Volunteering; Nonprofit Sector; Philanthropy; Accountability; Charitable Giving; NGOs; Social Capital; Community Involvement; Organizational Effectiveness,"This cluster of papers explores multilevel perspectives on prosocial behavior, volunteering, and the nonprofit sector. It covers topics such as philanthropy, accountability in NGOs, the impact of social capital on charitable giving, and organizational effectiveness in nonprofit organizations.",https://en.wikipedia.org/wiki/Prosocial_behavior
https://openalex.org/T11537,10,13,https://openalex.org/T11537,Ethics in medical practice,3600,General Health Professions,36,Health Professions,4,Health Sciences,Moral Distress; Ethical Climate; Nurse-Physician Collaboration; Intensive Care Units; Ethics Consultation; Burnout; Autonomy; Healthcare Ethics; Professionalism Dilemmas; Empirical Ethics,"This cluster of papers explores the concept of moral distress in healthcare professionals, particularly focusing on nurses and physicians in intensive care units. It delves into the ethical climate, nurse-physician collaboration, burnout, autonomy, and the role of ethics consultation in addressing moral distress. The papers also discuss the impact of moral distress on job satisfaction, turnover intentions, and professional quality of life.",https://en.wikipedia.org/wiki/Moral_distress
https://openalex.org/T14090,7,11,https://openalex.org/T14090,Health and Conflict Studies,3600,General Health Professions,36,Health Professions,4,Health Sciences,Mortality; Conflict; Health; Violence; Iraq; Democratic Republic of Congo; Peacebuilding; Humanitarian Emergencies; Public Health; Globalization,"This cluster of papers explores the intersection of mortality, conflict, and public health, with a focus on regions such as Iraq and the Democratic Republic of Congo. It delves into the impact of violence, lack of access to healthcare, and the role of health initiatives in peacebuilding efforts amidst humanitarian emergencies.",https://en.wikipedia.org/wiki/Mortality_in_conflict_zones
https://openalex.org/T10297,1,10,https://openalex.org/T10297,Philosophical Ethics and Theory,1211,Philosophy,12,Arts and Humanities,2,Social Sciences,Ethics; Moral Realism; Virtue Ethics; Kantian Ethics; Metaethics; Normativity; Agency; Reasoning; Empathy; Human Dignity,"This cluster of papers covers a wide range of topics in moral philosophy, including ethical theories, moral realism, virtue ethics, Kantian ethics, metaethics, normativity, agency, reasoning, empathy, and human dignity. It explores the nature of morality, the foundations of ethical principles, and the complexities of human moral decision-making.",https://en.wikipedia.org/wiki/Moral_philosophy
https://openalex.org/T11507,2,10,https://openalex.org/T11507,Religion and Society Interactions,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences,Religion; Secularism; Public Sphere; Globalization; Atheism; Nationalism; Pluralism; Politics; Civil Religion; Democracy,"This cluster of papers explores the complex interplay between religion and secularism in modern society, addressing topics such as the public sphere, globalization, atheism, nationalism, religious pluralism, and their impact on politics and civil society. It delves into the challenges and transformations brought about by the coexistence of religious and secular ideologies in various cultural and national contexts.",https://en.wikipedia.org/wiki/Secularism
https://openalex.org/T12520,6,10,https://openalex.org/T12520,Psychology of Moral and Emotional Judgment,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,Moral Judgment; Disgust; Neuroscience; Emotion; Ethics; Social Intuition; Disease Avoidance; Utilitarianism; Psychology; Evolution,"This cluster of papers explores the neuroscience and psychology of moral judgment, with a focus on the role of disgust, emotion, and disease avoidance in ethical decision-making. It delves into the interplay between intuition and reasoning, the impact of intentional actions, and the evolutionary origins of moral sentiments.",https://en.wikipedia.org/wiki/Neuroscience_of_morality
https://openalex.org/T11953,2,9,https://openalex.org/T11953,"Neuroethics, Human Enhancement, Biomedical Innovations",2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences,Neuroenhancement; Cognitive Enhancement; Prescription Stimulants; Ethical Issues; Medicalization; Neuroethics; Brain Imaging; Moral Enhancement; Transhumanism; Pharmaceuticalization,"This cluster of papers explores the ethical and societal implications of neuroenhancement technologies, focusing on the use of prescription stimulants and cognitive enhancement drugs, the impact of medicalization and pharmaceuticalization, neuroethics, brain imaging, and the concept of moral enhancement. The discussions also extend to transhumanism and the broader implications for human identity and autonomy.",https://en.wikipedia.org/wiki/Cognitive_enhancement
https://openalex.org/T12788,6,9,https://openalex.org/T12788,Space Science and Extraterrestrial Life,3103,Astronomy and Astrophysics,31,Physics and Astronomy,3,Physical Sciences,Extraterrestrial Life; Astrobiology; SETI; Galactic Habitable Zone; Intelligent Life; Global Catastrophic Risks; Fermi Paradox; Planetary Biology; Technosignatures; Space Exploration,"This cluster of papers explores the search for extraterrestrial life and intelligence, including topics such as astrobiology, SETI (Search for Extraterrestrial Intelligence), galactic habitable zones, global catastrophic risks, the Fermi Paradox, planetary biology, technosignatures, and space exploration.",https://en.wikipedia.org/wiki/Search_for_extraterrestrial_intelligence
